loyalty_id,member_name,email_address,phone,aadhaar_number,points_balance
LOY0027,Suman Namboothiri,bilva.ahuja@yahoo.co.in,9763564236,873443699947,2596
LOY0028,Miss Som Bhat,devajyoti.khan@gmail.com,6037027968,065499643018,1306
LOY0029,Gorakhanatha Prajapat MD,aasha.dutta@gmail.com,8253382203,809249000928,4032
LOY0030,Chitraksh Dwivedi,veda.chaturvedi@yahoo.co.in,9390273913,031865984513,2905
LOY0031,Niro Chattopadhyay,girish.verma@hotmail.com,7290281854,871187945396,8967
LOY0032,Dandak Mukhopadhyay,divya.bhattathiri@yahoo.co.in,6035809736,190731371369,3144
LOY0033,Vedanga Joshi PhD,hiranmaya.sethi@gmail.com,7972179647,839605682137,628
LOY0034,Daevi Namboothiri,yogesh.kaul@yahoo.co.in,7283597898,420573673420,5100
LOY0035,Shreyashi Arora III,shashikala.sethi@hotmail.com,8529409280,706434149472,8978
LOY0036,Prasanna Sethi IV,devi.bharadwaj@gmail.com,8970416595,382641967524,375
LOY0037,Mrs. Chandran Nehru,balagovind.kaur@hotmail.com,7456802209,454221022622,4664
LOY0038,Suma Varman PhD,trilok.patil@yahoo.co.in,9515149275,562552377743,9333
LOY0039,Dhanvin Khanna,purnima.patil@gmail.com,9335707022,254640054220,1132
LOY0040,Gemine Mehrotra,anil.menon@yahoo.co.in,6565573452,003743212293,7273
LOY0041,Chandramauli Jha,inder.reddy@gmail.com,6570979708,206407678587,4688
LOY0042,Mangalya Pillai,charuchandra.sharma@gmail.com,8617858580,869445832456,9189
LOY0043,Ankal Marar,omana.acharya@yahoo.co.in,9860929859,348227000691,7770
LOY0044,Lakshmi Deshpande,achyut.dutta@yahoo.co.in,6063711242,621747415473,1556
LOY0045,Girish Khan,himadri.ahuja@yahoo.co.in,7645062820,643715340300,404
LOY0046,Leela Iyengar,mani.guneta@gmail.com,8828436223,742580823506,5551
LOY0047,Digambara Butt,umang.talwar@hotmail.com,9057782027,618387827578,2585
LOY0048,Dr. Arjun Dubashi,pranay.bhattathiri@yahoo.co.in,9941255583,785833032074,9067
LOY0049,Ujjawal Chopra,aatmaj.bandopadhyay@yahoo.co.in,9324803096,346838068363,4445
LOY0050,Shreya Kaur DDS,rukmin.malik@yahoo.co.in,7405005290,802155230684,2641
LOY0051,Prathamesh Mehrotra,shubhaprada.gandhi@hotmail.com,6709566776,776635628742,4227
LOY0052,Puneet Dhawan II,padma.bandopadhyay@hotmail.com,9797083033,630349938571,167
LOY0053,Chatura Menon,girika.dutta@yahoo.co.in,9922166505,556306347079,4467
LOY0054,Chidananda Banerjee,siddhi.kaur@yahoo.co.in,7763639594,041095131957,3387
LOY0055,Ms. Aalok Gowda,deepan.somayaji@hotmail.com,9492890719,761255666429,9672
LOY0056,Kashyap Verma,goswamee.khan@gmail.com,6990342779,745279639012,5730
LOY0057,Chidaakaash Patel II,vishnu.pillai@gmail.com,9887552570,791885571088,6247
LOY0058,Padma Nair III,rageshwari.talwar@yahoo.co.in,6320405620,984015053391,4025
LOY0059,Sunita Kakkar,devika.pilla@gmail.com,9032966485,148050437544,8562
LOY0060,Mrs. Shakti Marar,jyoti.abbott@yahoo.co.in,6748306095,825061023623,2817
LOY0061,Rajinder Gowda,vasundhara.guha@gmail.com,8153450758,745954371433,6936
LOY0062,Agniprava Deshpande,keerti.desai@yahoo.co.in,8455624279,506334977513,8098
LOY0063,Anjushri Bandopadhyay,deependra.adiga@gmail.com,7175767664,480030502535,3880
LOY0064,Chandrakala Ganaka,deeptiman.varrier@gmail.com,9313169302,634692639231,8868
LOY0065,Kannan Chattopadhyay,aadidev.achari@gmail.com,7157003472,472010866152,8383
LOY0066,Devesh Dutta,ujjawal.gandhi@hotmail.com,8705609832,162149960550,693
LOY0067,Chandramani Sethi,vaijayanti.gill@yahoo.co.in,6296047945,902751230212,8094
LOY0068,Bandhu Khanna,padma.pilla@yahoo.co.in,7814719618,869735466182,3920
LOY0069,Chetan Ganaka DDS,girija.desai@hotmail.com,8302441338,088671714975,397
LOY0070,Dhananjay Varman,rajinder.kapoor@hotmail.com,8221755666,694573896035,4086
LOY0071,Gautam Chaturvedi,pushti.dutta@gmail.com,8283532064,156642379433,3347
LOY0072,Devangana Dubashi,lakshmidhar.iyengar@hotmail.com,7079459398,862588358984,2775
LOY0073,Minakshi Reddy,chandini.asan@gmail.com,8831631791,323967184413,8615
LOY0074,Miss Preity Bharadwaj,lalita.malik@yahoo.co.in,6750709385,668182967392,3254
LOY0075,Asha Embranthiri,adwitiya.shukla@yahoo.co.in,6389132602,705107976197,9712
LOY0076,Agneya Iyengar,vinay.talwar@hotmail.com,6633481143,209346655655,7990
LOY0077,Maheswar Verma II,inder.johar@hotmail.com,6973662684,465406218963,6861
LOY0078,Lai Sinha III,kama.kaur@gmail.com,6429506239,010207880753,5027
LOY0079,Tara Verma IV,elakshi.patel@gmail.com,7300449091,877490739397,6487
LOY0080,Kirti Trivedi,gorakhnath.nayar@gmail.com,8404921547,279464804921,4000
LOY0081,Swara Agarwal,paramartha.pandey@gmail.com,6464099771,064443925307,8151
LOY0082,Priyala Guha,ghanshyam.adiga@gmail.com,6197783898,213401712344,1571
LOY0083,Bhushit Iyengar,dwaipayana.talwar@hotmail.com,6718584659,596047597725,5141
LOY0084,Dr. Aditya Asan,abhirath.mahajan@hotmail.com,9632127522,095069485452,8640
LOY0085,Jagdish Ahuja,tanushri.sethi@yahoo.co.in,7468581126,016397482538,2460
LOY0086,Jahnu Gupta,adinath.mukhopadhyay@hotmail.com,6515117114,812178201727,3812
LOY0087,Atreyee Reddy,manoj.guneta@hotmail.com,9567467516,737775893656,2174
LOY0088,Bhasvan Asan,smita.gowda@gmail.com,6064133816,345751101217,774
LOY0089,Advaya Patel V,damayanti.pandey@gmail.com,9336853927,415709038327,4356
LOY0090,Vijay Ganaka,dayamayee.talwar@hotmail.com,7105877828,265164784861,8203
LOY0091,Ms. Rageswari Rana,kali.achari@yahoo.co.in,9254986093,164836971987,7574
LOY0092,Chandra Saini,bhamini.pillai@hotmail.com,9644431674,793949515965,9507
LOY0093,Shashi Gowda,nimit.marar@yahoo.co.in,6371566597,918293810407,1323
LOY0094,Ekadant Deshpande,dinakar.prajapat@yahoo.co.in,8354710632,608217522093,2730
LOY0095,Ekaksh Tandon III,digambar.nehru@gmail.com,7463961277,357178840441,879
LOY0096,Shubha Patel MD,akshata.iyer@hotmail.com,8051571176,201150625071,9417
LOY0097,Miss Sarala Bharadwaj,jagadisha.malik@gmail.com,7128122038,219975307144,8698
LOY0098,Ms. Trilokanath Desai,smita.sharma@gmail.com,6048803166,686079006143,2650
LOY0099,Tanya Guneta,kanishka.nehru@hotmail.com,8036888840,745725927716,4733
LOY0100,Mrs. Dhana Malik,jahnu.dutta@hotmail.com,9026615441,374276310782,6810
