transaction_id,customer_name,card_number,product_category,purchase_amount,purchase_date
TXN0059,Bhilangana Pothuvaal,8748714939970874,"Clothing, Health & Shoes",2314,Sun Dec 09
TXN0060,Bankim Gill V,6972346555084578,"Grocery, Jewelry & Movies",2286,Sun Nov 05
TXN0061,Ms. Manisha Trivedi,8713771235404779,Beauty,4545,Tue Jun 11
TXN0062,Dr. Uma Joshi,7659302654736602,Clothing & Music,4822,Sat Feb 12
TXN0063,Saroja Sethi IV,6200441267978570,Grocery,4351,Wed Apr 17
TXN0064,Chandrabhaga Naik DVM,1710231308554521,"Automotive, Computers & Health",4340,Wed Dec 02
TXN0065,Urmila Guneta,5508504320215347,Tools,4403,Mon May 05
TXN0066,Ms. Harinarayan Tagore,9388372109083772,Movies & Toys,3761,Fri Sep 07
TXN0067,Mrs. Kama Bhattacharya,1990974977133324,Garden & Shoes,4041,Tue Aug 19
TXN0068,Dhanpati Shah,5027380636976472,Grocery & Jewelry,973,Tue Jun 10
TXN0069,Mr. Drona Ahluwalia,7257514393189472,Baby,1315,Wed Apr 24
TXN0070,Mrs. Shanti Johar,7982525151534404,"Home, Shoes & Sports",2729,Wed Jan 08
TXN0071,Avani Tandon,4193246942185308,Beauty,4518,Sat Jan 23
TXN0072,Brahma Agarwal,7184461546984395,"Electronics, Grocery & Industrial",3605,Sun Jan 24
TXN0073,Jitendra Ganaka,8289474581086884,"Beauty, Music & Shoes",506,Sun Jan 21
TXN0074,Vimal Khanna,6055366368574838,Clothing & Garden,3117,Sat Aug 03
TXN0075,Ramesh Nambeesan,8566405273813410,Books,2184,Thu Nov 30
TXN0076,Kirti Bhat,4780159715957189,Health & Sports,1613,Tue Mar 08
TXN0077,Smita Bhattacharya IV,5812070475375836,Music & Toys,4402,Sun Oct 21
TXN0078,Bhilangana Acharya,2651905350931930,Kids,2370,Thu Jun 21
TXN0079,Akshita Dutta V,9188943708229486,Books,584,Wed Mar 24
TXN0080,Arya Ganaka,2103663571439386,Games & Toys,2741,Tue Oct 10
TXN0081,Rajinder Khan,2964598860258413,Games & Home,2096,Wed Aug 28
TXN0082,Miss Acharyanandana Butt,4803554414363213,Toys,3873,Fri May 21
TXN0083,Bela Bhattacharya,5273533792445078,Beauty,3430,Tue Jun 13
TXN0084,Omana Jha,3508585446374135,Home,628,Tue Oct 03
TXN0085,Kama Chattopadhyay,5386981655878403,"Books, Games & Health",4106,Sat May 31
TXN0086,Mr. Anasuya Namboothiri,9309733161163825,Games,4718,Fri Jun 06
TXN0087,Ms. Swami Dwivedi,0520925812264193,Clothing & Sports,237,Sat Sep 09
TXN0088,Bhavani Prajapat,5878083222769657,"Computers, Electronics & Sports",3933,Mon Sep 15
TXN0089,Bhadra Arora,2950839136973143,Books & Garden,2068,Wed Feb 09
TXN0090,Ekalavya Mukhopadhyay,1519018509143381,"Electronics, Games & Garden",734,Fri Oct 19
TXN0091,Himadri Iyengar,1824398504866652,"Home, Movies & Shoes",2156,Sat May 10
TXN0092,Dr. Usha Achari,1159041653142572,Tools,763,Tue Jun 13
TXN0093,Ganak Gandhi DDS,6411710112713038,"Baby, Books & Grocery",1582,Tue Feb 15
TXN0094,Kanchan Kocchar V,7182802847017738,Baby,1539,Thu May 06
TXN0095,Ganapati Banerjee IV,5446365087883805,Clothing & Grocery,4786,Thu Mar 30
TXN0096,Kamala Devar,2640354779707351,Jewelry & Tools,4633,Tue Mar 02
TXN0097,Trilokanath Kaul,9375660310272079,Toys,525,Mon Apr 06
TXN0098,Aatmaja Mehra,4831347796793838,Tools,752,Thu Apr 09
TXN0099,Veda Bharadwaj,4820195104047085,Garden,4021,Tue Jan 31
TXN0100,Raj Talwar V,8200925717236991,Computers,2425,Mon Jul 07
